City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,69.71,66,65,7.96,broken clouds
1,Vanimo,PG,-2.6741,141.3028,84.61,73,60,7.16,broken clouds
2,Itaueira,BR,-7.6033,-43.0256,78.89,43,69,5.06,broken clouds
3,Srandakan,ID,-7.9386,110.2506,84.79,73,99,10.74,overcast clouds
4,Dikson,RU,73.5069,80.5464,9.1,86,100,6.04,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,75.52,81,45,16.73,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,55.06,50,40,5.75,scattered clouds
7,Ahipara,NZ,-35.1667,173.1667,63.48,75,2,10.83,clear sky
8,Chapadinha,BR,-3.7417,-43.3603,73.38,90,66,3.2,broken clouds
9,Touros,BR,-5.1989,-35.4608,77.9,79,52,12.75,broken clouds
10,Hirara,JP,24.8,125.2833,79.07,65,40,8.05,scattered clouds
11,Port Alfred,ZA,-33.5906,26.891,68.16,89,96,8.61,overcast clouds
12,Vestmannaeyjar,IS,63.4427,-20.2734,44.19,83,99,13.13,overcast clouds
13,Pedernales,DO,18.0384,-71.744,79.54,75,68,5.35,broken clouds
14,Marystown,CA,47.1666,-55.1483,41.86,100,100,8.01,overcast clouds
15,Kodiak,US,57.79,-152.4072,33.31,64,20,4.61,few clouds
16,Ribeira Grande,PT,38.5167,-28.7,71.08,90,99,30.15,overcast clouds
17,Kaitangata,NZ,-46.2817,169.8464,59.13,73,51,6.78,broken clouds
18,Chapais,CA,49.7834,-74.8492,35.38,73,0,5.5,clear sky
19,Albany,US,42.6001,-73.9662,42.94,92,37,1.81,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,60.91,79,10,7.76,clear sky
21,Kapaa,US,22.0752,-159.319,80.58,93,75,12.66,light rain
22,Zhicheng,CN,30.2956,111.5047,63.82,69,100,2.89,light rain
23,Rochegda,RU,62.8,43.25,26.44,74,100,9.06,overcast clouds
24,Longyearbyen,SJ,78.2186,15.6401,19.24,79,75,4.61,broken clouds
25,Harlingen,US,26.1906,-97.6961,73.49,42,1,5.75,clear sky
26,Tosham,IN,28.8833,75.9167,75.6,34,0,2.68,clear sky
27,Mataura,NZ,-46.1927,168.8643,64.72,61,66,4.85,broken clouds
28,Ust-Tsilma,RU,65.441,52.1498,10.35,94,13,4.36,few clouds
29,Vanavara,RU,60.34,102.2797,22.87,68,59,7.81,broken clouds
30,New Norfolk,AU,-42.7826,147.0587,45.9,75,100,8.01,light rain
31,Arraial Do Cabo,BR,-22.9661,-42.0278,70.83,91,100,14.9,overcast clouds
32,Bluff,NZ,-46.6,168.3333,58.95,79,26,6.08,scattered clouds
33,Punta Arenas,CL,-53.15,-70.9167,50.11,76,75,11.5,broken clouds
34,Acarau,BR,-2.8856,-40.12,78.57,81,52,10.29,broken clouds
35,Saskylakh,RU,71.9167,114.0833,-9.47,99,100,6.49,overcast clouds
36,Muridke,PK,31.8025,74.2617,66.34,38,0,1.61,clear sky
37,Bam,IR,29.106,58.357,66.54,23,4,0.45,clear sky
38,Vaini,TO,-21.2,-175.2,78.96,89,75,10.36,broken clouds
39,East London,ZA,-33.0153,27.9116,65.34,94,0,5.75,clear sky
40,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,97,21.59,overcast clouds
41,Qaanaaq,GL,77.484,-69.3632,14.83,78,71,7.52,broken clouds
42,Colares,PT,38.7992,-9.4469,67.33,83,100,3.0,overcast clouds
43,Airai,TL,-8.9266,125.4092,80.67,43,89,2.46,overcast clouds
44,Bethel,US,41.3712,-73.414,51.58,87,75,0.0,broken clouds
45,Porto Novo,BJ,6.4965,2.6036,75.99,91,88,2.91,overcast clouds
46,Yumen,CN,40.2833,97.2,51.35,23,16,6.91,few clouds
47,Stokmarknes,NO,68.5646,14.9108,49.5,83,54,17.38,broken clouds
48,Nizhniy Odes,RU,63.6445,54.856,16.56,88,30,9.55,scattered clouds
49,Faro,PT,37.0194,-7.9322,65.98,94,0,10.36,clear sky
50,Gorontalo,ID,0.5412,123.0595,85.55,77,54,1.72,broken clouds
51,Okha,RU,53.5739,142.9478,42.42,66,13,4.94,few clouds
52,Ostuacan,MX,17.4167,-93.3,71.01,97,99,1.59,overcast clouds
53,Lagoa,PT,39.05,-27.9833,69.78,89,99,35.43,overcast clouds
54,Bredasdorp,ZA,-34.5322,20.0403,60.12,88,67,3.44,broken clouds
55,Kruisfontein,ZA,-34.0033,24.7314,64.71,83,91,10.38,overcast clouds
56,Faanui,PF,-16.4833,-151.75,77.52,86,92,20.49,moderate rain
57,Puerto Ayora,EC,-0.7393,-90.3518,67.55,96,93,5.99,overcast clouds
58,Progreso,MX,21.2833,-89.6667,79.11,56,30,17.63,scattered clouds
59,Paranaiba,BR,-19.6772,-51.1908,73.72,80,100,6.17,overcast clouds
60,Qaqortoq,GL,60.7167,-46.0333,28.9,73,100,2.75,overcast clouds
61,Yazd,IR,31.8972,54.3675,51.91,35,0,4.61,clear sky
62,Westport,US,41.1415,-73.3579,55.15,87,1,5.01,clear sky
63,Pacific Grove,US,36.6177,-121.9166,68.54,86,1,1.01,clear sky
64,Svetlyy,RU,54.675,20.1347,44.65,77,23,12.12,few clouds
65,Torit,SS,4.4133,32.5678,72.59,74,42,2.73,scattered clouds
66,Hilo,US,19.7297,-155.09,76.28,90,57,4.68,broken clouds
67,Sokoni,TZ,-6.4333,39.55,75.49,77,94,8.93,light rain
68,Castro,BR,-24.7911,-50.0119,59.97,94,98,8.61,overcast clouds
69,Beringovskiy,RU,63.05,179.3167,7.03,78,18,4.56,few clouds
70,Gazanjyk,TM,39.2446,55.5154,46.53,70,0,10.87,clear sky
71,Mzimba,MW,-11.9,33.6,60.89,85,69,8.43,broken clouds
72,Hobyo,SO,5.3505,48.5268,79.47,68,33,9.19,scattered clouds
73,Lebu,CL,-37.6167,-73.65,52.2,87,31,15.28,scattered clouds
74,Dharchula,IN,29.85,80.5333,68.11,33,0,3.49,clear sky
75,Namatanai,PG,-3.6667,152.4333,86.04,67,92,5.79,overcast clouds
76,Zhigansk,RU,66.7697,123.3711,12.31,89,100,8.08,overcast clouds
77,Gigmoto,PH,13.7796,124.39,83.25,75,21,12.97,few clouds
78,Lar,IN,26.2039,83.9717,77.52,53,0,4.25,clear sky
79,Baghdad,IQ,33.3406,44.4009,73.31,33,0,8.05,clear sky
80,Chimoio,MZ,-19.1164,33.4833,60.66,100,75,3.49,light intensity drizzle
81,Belomorsk,RU,64.5232,34.7668,38.98,96,100,11.05,overcast clouds
82,Provost,CA,52.3501,-110.2683,42.22,30,95,8.72,overcast clouds
83,Terrak,NO,65.087,12.3715,48.07,95,100,5.1,light rain
84,Kloulklubed,PW,7.0419,134.2556,88.3,68,99,12.03,overcast clouds
85,Caravelas,BR,-17.7125,-39.2481,72.68,78,4,4.83,clear sky
86,Qui Nhon,VN,13.7667,109.2333,81.77,78,99,11.32,overcast clouds
87,Sao Filipe,CV,14.8961,-24.4956,77.47,78,44,5.59,scattered clouds
88,Iqaluit,CA,63.7506,-68.5145,38.93,81,90,4.61,light snow
89,Popondetta,PG,-8.7537,148.2534,90.79,51,40,8.23,scattered clouds
90,Busselton,AU,-33.65,115.3333,61.05,50,62,7.31,broken clouds
91,Lompoc,US,34.6391,-120.4579,73.56,75,1,0.0,clear sky
92,Cape Town,ZA,-33.9258,18.4232,62.1,69,75,1.99,broken clouds
93,Manadhoo,MV,5.7667,73.3833,81.97,74,74,9.55,broken clouds
94,Naze,JP,28.3667,129.4833,76.12,51,83,9.01,broken clouds
95,Armizonskoye,RU,55.9461,67.6736,35.96,78,100,18.37,overcast clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,65.08,93,0,1.01,clear sky
97,Joao Pinheiro,BR,-17.7425,-46.1725,70.77,64,31,8.88,scattered clouds
98,Yellowknife,CA,62.456,-114.3525,32.41,100,75,3.0,light snow
99,Shelburne,CA,44.0787,-80.2041,46.56,94,100,13.33,overcast clouds
100,Talnakh,RU,69.4865,88.3972,0.01,88,100,9.89,overcast clouds
101,Saint George,US,37.1041,-113.5841,66.79,48,1,3.0,clear sky
102,Hobart,AU,-42.8794,147.3294,46.26,92,75,3.0,light rain
103,Kahului,US,20.8947,-156.47,80.62,81,40,17.27,scattered clouds
104,Namibe,AO,-15.1961,12.1522,65.77,74,52,3.04,broken clouds
105,Kariba,ZW,-16.5167,28.8,70.54,58,4,6.64,clear sky
106,Fukue,JP,32.6881,128.8419,70.16,52,40,12.66,scattered clouds
107,Umm Lajj,SA,25.0213,37.2685,79.72,52,6,4.7,clear sky
108,Pacifica,US,37.6138,-122.4869,68.58,86,1,4.0,clear sky
109,Constitucion,CL,-35.3333,-72.4167,54.18,79,10,12.15,clear sky
110,Nikolskoye,RU,59.7035,30.7861,53.02,88,100,11.61,overcast clouds
111,Shestakovo,RU,56.4915,103.96,30.38,49,6,6.17,clear sky
112,Upata,VE,8.0086,-62.3989,71.31,95,100,2.39,overcast clouds
113,Monteiro,BR,-7.8894,-37.12,68.29,77,60,8.43,broken clouds
114,Hovd,MN,48.0056,91.6419,41.59,39,4,1.83,clear sky
115,Saint-Francois,FR,46.4154,3.9054,52.68,73,0,5.75,clear sky
116,Atambua,ID,-9.1061,124.8925,88.41,54,100,5.97,overcast clouds
117,Fortuna,US,40.5982,-124.1573,59.18,73,40,3.44,scattered clouds
118,Kota Kinabalu,MY,5.9749,116.0724,87.78,74,20,3.44,few clouds
119,Ati,TD,13.2154,18.3353,80.96,18,93,7.02,overcast clouds
120,Mahibadhoo,MV,3.7833,72.9667,82.36,75,73,9.46,broken clouds
121,Yima,CN,34.7381,111.8839,62.89,58,100,7.74,overcast clouds
122,Byron Bay,AU,-28.65,153.6167,80.55,71,100,8.57,light rain
123,Manokwari,ID,-0.8667,134.0833,84.83,65,95,6.91,overcast clouds
124,Tautira,PF,-17.7333,-149.15,71.62,96,100,15.17,very heavy rain
125,Ilulissat,GL,69.2167,-51.1,26.62,80,75,16.11,light snow
126,Cockburn Town,TC,21.4612,-71.1419,82.18,73,2,7.52,clear sky
