City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vanimo,PG,84.61,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
2,Itaueira,BR,78.89,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
3,Srandakan,ID,84.79,overcast clouds,-7.9386,110.2506,Puri Brata
5,Rikitea,PF,75.52,scattered clouds,-23.1203,-134.9692,People ThankYou
9,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
10,Hirara,JP,79.07,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
13,Pedernales,DO,79.54,broken clouds,18.0384,-71.744,Hotel Costa Marina
21,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Tosham,IN,75.6,clear sky,28.8833,75.9167,Amrit home's
34,Acarau,BR,78.57,broken clouds,-2.8856,-40.12,castelo pizzaria
38,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Airai,TL,80.67,overcast clouds,-8.9266,125.4092,Juvinal Martin
45,Porto Novo,BJ,75.99,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
50,Gorontalo,ID,85.55,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
56,Faanui,PF,77.52,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Progreso,MX,79.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
66,Hilo,US,76.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Sokoni,TZ,75.49,light rain,-6.4333,39.55,Ujamaa Beach Resort
72,Hobyo,SO,79.47,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
75,Namatanai,PG,86.04,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
77,Gigmoto,PH,83.25,few clouds,13.7796,124.39,Cj's Travellers Inn
