City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2021-10-26 01:40:56,72.7868,-56.1549,15.13,58,11,6.35
1,Bethel,US,2021-10-26 01:38:26,41.3712,-73.414,66.99,92,90,1.99
2,Esperance,AU,2021-10-26 01:40:57,-33.8667,121.9,55.24,64,70,6.49
3,Outjo,NA,2021-10-26 01:40:57,-20.1167,16.15,59.79,42,37,4.74
4,San Rafael,AR,2021-10-26 01:40:59,-34.6177,-68.3301,74.12,15,1,5.53
5,Urumqi,CN,2021-10-26 01:40:59,43.801,87.6005,34.75,60,0,4.47
6,Lakes Entrance,AU,2021-10-26 01:41:01,-37.8811,147.981,61.16,65,26,7.81
7,Punta Arenas,CL,2021-10-26 01:41:02,-53.15,-70.9167,35.71,80,75,3.44
8,Rikitea,PF,2021-10-26 01:41:02,-23.1203,-134.9692,75.69,72,62,17.6
9,Busselton,AU,2021-10-26 01:41:03,-33.65,115.3333,54.05,64,98,3.38
10,Payo,ID,2021-10-26 01:41:03,-3.7508,103.6372,83.43,74,100,0.54
11,Avarua,CK,2021-10-26 01:41:04,-21.2078,-159.775,77.05,61,75,11.5
12,Kodiak,US,2021-10-26 01:39:01,57.79,-152.4072,42.31,81,90,9.22
13,Saint-Philippe,RE,2021-10-26 01:41:04,-21.3585,55.7679,72.95,80,40,14.25
14,Yauya,PE,2021-10-26 01:41:05,-8.9833,-77.3,51.55,76,100,0.38
15,Vostok,RU,2021-10-26 01:41:05,46.4856,135.8833,50.68,46,0,3.4
16,Cayenne,GF,2021-10-26 01:41:06,4.9333,-52.3333,78.1,89,20,1.01
17,Vilanova Del Cami,ES,2021-10-26 01:41:07,41.5717,1.6375,59.52,90,93,3.29
18,Katherine,AU,2021-10-26 01:41:07,-14.4667,132.2667,89.92,51,0,6.91
19,Port Alfred,ZA,2021-10-26 01:41:08,-33.5906,26.891,62.56,87,23,14.43
20,Ushuaia,AR,2021-10-26 01:39:37,-54.8,-68.3,33.46,86,20,8.05
21,Dzhebariki-Khaya,RU,2021-10-26 01:41:09,62.2167,135.8,31.37,94,100,4.54
22,Batagay-Alyta,RU,2021-10-26 01:41:09,67.8006,130.4114,4.71,89,99,2.28
23,Bonnyville,CA,2021-10-26 01:41:10,54.2668,-110.735,45.72,54,100,10.85
24,Port Macquarie,AU,2021-10-26 01:41:10,-31.4333,152.9167,72.9,61,75,7.56
25,Cabo San Lucas,MX,2021-10-26 01:38:23,22.8909,-109.9124,81.7,71,1,4.0
26,Tasiilaq,GL,2021-10-26 01:41:11,65.6145,-37.6368,37.56,78,100,9.24
27,Mataura,NZ,2021-10-26 01:41:12,-46.1927,168.8643,66.69,67,89,4.74
